Maths,Physics,Chemistry,Result,Total
2,34,72,0,108
57,43,26,0,126
1,23,89,0,113
96,42,39,0,177
96,75,87,1,258
35,36,96,0,167
31,87,42,0,160
34,65,63,0,162
14,12,94,0,120
79,38,46,0,163
23,12,68,0,103
44,60,65,1,169
37,28,19,0,84
8,14,8,0,30
21,30,44,0,95
20,67,54,0,141
32,74,48,0,154
67,64,58,1,189
21,79,29,0,129
84,38,38,0,160
34,90,18,0,142
82,76,37,0,195
91,67,98,1,256
37,38,70,0,145
58,77,31,0,166
89,93,82,1,264
41,13,60,0,114
63,60,7,0,130
60,83,33,0,176
14,51,7,0,72
3,94,55,0,152
39,90,23,0,152
49,64,9,0,122
43,17,97,0,157
53,48,25,0,126
24,26,62,0,112
33,37,95,0,165
13,16,69,0,98
32,49,91,0,172
93,19,59,0,171
65,19,74,0,158
26,49,33,0,108
77,48,85,1,210
55,30,93,0,178
2,63,71,0,136
28,82,62,0,172
2,42,33,0,77
50,26,72,0,148
18,11,88,0,117
4,81,8,0,93
92,14,55,0,161
20,85,91,0,196
57,37,78,0,172
90,82,46,1,218
64,68,89,1,221
86,31,85,0,202
54,89,59,1,202
69,75,12,0,156
28,14,99,0,141
80,58,43,1,181
88,35,21,0,144
66,54,32,0,152
57,22,11,0,90
28,36,44,0,108
67,83,14,0,164
83,65,14,0,162
3,85,44,0,132
50,34,43,0,127
86,73,25,0,184
73,23,58,0,154
41,95,77,1,213
84,59,37,0,180
80,47,21,0,148
54,74,6,0,134
7,73,76,0,156
94,12,9,0,115
38,51,80,0,169
16,88,32,0,136
27,61,77,0,165
6,46,63,0,115
39,12,26,0,77
9,30,95,0,134
9,35,84,0,128
39,51,70,0,160
38,82,9,0,129
95,27,53,0,175
20,53,30,0,103
53,64,49,1,166
72,37,17,0,126
32,44,31,0,107
16,22,78,0,116
1,58,91,0,150
71,80,60,1,211
4,54,80,0,138
75,78,29,0,182
27,72,68,0,167
72,78,18,0,168
58,40,90,1,188
21,18,54,0,93
99,15,42,0,156
90,20,69,0,179
79,27,68,0,174
65,31,7,0,103
4,31,46,0,81
48,78,83,1,209
25,37,56,0,118
44,44,41,1,129
12,52,7,0,71
26,86,25,0,137
73,74,30,0,177
86,42,46,1,174
55,57,77,1,189
75,53,22,0,150
24,53,48,0,125
63,24,59,0,146
13,47,32,0,92
85,40,39,0,164
49,87,91,1,227
37,72,17,0,126
64,27,53,0,144
63,84,75,1,222
2,80,49,0,131
41,23,92,0,156
78,51,73,1,202
51,15,67,0,133
36,62,73,0,171
2,19,35,0,56
20,58,13,0,91
25,28,97,0,150
41,26,10,0,77
72,53,15,0,140
100,24,22,0,146
17,88,26,0,131
43,85,26,0,154
54,58,73,1,185
27,19,32,0,78
34,83,39,0,156
86,80,47,1,213
12,38,81,0,131
48,82,69,1,199
70,20,37,0,127
44,44,52,1,140
87,56,48,1,191
68,47,48,1,163
62,82,19,0,163
98,78,42,1,218
68,24,35,0,127
30,68,82,0,180
8,45,96,0,149
92,23,67,0,182
5,15,22,0,42
10,47,79,0,136
17,11,75,0,103
21,88,18,0,127
21,95,46,0,162
68,11,10,0,89
27,21,57,0,105
34,62,14,0,110
97,24,53,0,174
42,15,23,0,80
76,34,21,0,131
64,40,48,1,152
32,85,19,0,136
47,63,83,1,193
43,30,80,0,153
43,24,53,0,120
14,67,14,0,95
37,31,78,0,146
30,40,75,0,145
77,30,33,0,140
99,23,77,0,199
91,65,15,0,171
62,58,39,0,159
17,79,51,0,147
74,47,42,1,163
70,80,77,1,227
98,42,73,1,213
13,71,19,0,103
41,50,63,1,154
5,22,40,0,67
52,36,18,0,106
9,93,10,0,112
48,50,42,1,140
100,15,6,0,121
18,13,83,0,114
16,11,90,0,117
43,47,6,0,96
14,86,16,0,116
78,50,57,1,185
75,67,19,0,161
100,60,10,0,170
48,50,29,0,127
9,61,35,0,105
73,18,80,0,171
70,18,58,0,146
28,50,25,0,103
72,86,19,0,177
10,68,62,0,140
34,24,26,0,84
46,42,92,1,180
37,37,35,0,109
72,89,25,0,186
68,79,18,0,165
14,70,60,0,144
58,94,53,1,205
35,55,74,0,164
13,43,42,0,98
100,33,75,0,208
5,79,37,0,121
37,36,96,0,169
1,49,66,0,116
78,35,45,0,158
85,41,17,0,143
1,56,31,0,88
11,20,88,0,119
52,45,45,1,142
14,21,10,0,45
5,67,8,0,80
24,21,6,0,51
30,93,42,0,165
100,83,97,1,280
75,92,81,1,248
53,53,45,1,151
20,39,62,0,121
14,59,55,0,128
57,49,45,1,151
21,15,56,0,92
87,51,13,0,151
30,33,13,0,76
20,50,45,0,115
95,84,81,1,260
13,48,63,0,124
55,41,19,0,115
48,52,37,0,137
69,22,32,0,123
37,79,84,0,200
70,88,74,1,232
32,84,93,0,209
91,86,65,1,242
61,21,89,0,171
40,41,50,1,131
12,38,38,0,88
26,12,28,0,66
83,41,74,1,198
40,61,31,0,132
5,19,44,0,68
3,44,30,0,77
1,80,36,0,117
100,19,51,0,170
37,19,15,0,71
92,12,40,0,144
76,91,16,0,183
40,11,62,0,113
57,47,16,0,120
50,55,88,1,193
40,73,78,1,191
51,70,87,1,208
8,29,48,0,85
8,22,34,0,64
40,74,54,1,168
76,51,44,1,171
58,19,10,0,87
14,75,46,0,135
32,95,28,0,155
27,32,45,0,104
100,32,79,0,211
79,29,43,0,151
99,28,36,0,163
69,50,47,1,166
88,49,17,0,154
60,23,74,0,157
84,75,83,1,242
45,87,79,1,211
33,47,81,0,161
23,26,16,0,65
69,36,36,0,141
26,28,33,0,87
39,79,7,0,125
25,14,36,0,75
31,50,56,0,137
46,89,14,0,149
10,80,39,0,129
35,36,75,0,146
11,32,14,0,57
96,48,98,1,242
57,65,14,0,136
11,78,7,0,96
83,30,86,0,199
73,16,6,0,95
82,95,42,1,219
43,41,50,1,134
29,42,68,0,139
49,18,65,0,132
39,67,24,0,130
5,65,17,0,87
41,80,69,1,190
23,42,46,0,111
40,79,14,0,133
74,66,70,1,210
38,78,90,0,206
31,68,27,0,126
42,11,27,0,80
12,60,24,0,96
69,53,23,0,145
78,31,45,0,154
74,43,44,1,161
76,72,18,0,166
11,13,95,0,119
31,92,70,0,193
28,63,82,0,173
2,83,42,0,127
31,12,21,0,64
51,17,31,0,99
9,55,23,0,87
34,84,74,0,192
70,27,97,0,194
9,85,9,0,103
93,26,45,0,164
9,27,84,0,120
2,43,91,0,136
81,45,75,1,201
1,60,93,0,154
37,82,31,0,150
96,61,27,0,184
45,32,43,0,120
63,88,60,1,211
60,21,73,0,154
19,39,25,0,83
12,72,11,0,95
64,10,96,0,170
99,32,90,0,221
41,77,36,0,154
9,50,37,0,96
65,74,13,0,152
85,93,92,1,270
22,66,62,0,150
22,91,60,0,173
99,38,75,0,212
19,40,37,0,96
18,50,74,0,142
40,73,61,1,174
39,71,73,0,183
13,38,63,0,114
90,62,6,0,158
65,53,55,1,173
77,81,48,1,206
37,88,26,0,151
16,93,38,0,147
26,45,67,0,138
18,92,8,0,118
69,38,87,0,194
92,16,58,0,166
4,19,78,0,101
99,75,7,0,181
40,92,12,0,144
79,57,93,1,229
86,30,50,0,166
70,75,79,1,224
95,36,22,0,153
88,49,80,1,217
26,48,21,0,95
22,48,22,0,92
38,80,38,0,156
55,57,40,1,152
68,31,55,0,154
20,69,77,0,166
6,86,56,0,148
91,20,27,0,138
85,25,83,0,193
31,87,16,0,134
32,75,34,0,141
99,83,67,1,249
8,58,5,0,71
87,32,27,0,146
57,29,72,0,158
55,42,45,1,142
70,64,69,1,203
32,37,88,0,157
69,82,61,1,212
56,16,92,0,164
68,73,86,1,227
58,60,98,1,216
1,91,33,0,125
50,54,35,0,139
43,59,45,1,147
21,75,68,0,164
33,31,92,0,156
62,79,66,1,207
3,15,33,0,51
82,77,96,1,255
53,21,57,0,131
73,42,48,1,163
2,90,76,0,168
7,22,83,0,112
88,44,98,1,230
45,20,88,0,153
74,27,40,0,141
17,88,87,0,192
75,94,33,0,202
16,20,11,0,47
17,66,14,0,97
33,40,70,0,143
35,58,87,0,180
50,65,52,1,167
72,60,25,0,157
51,31,70,0,152
22,51,31,0,104
78,66,44,1,188
11,26,43,0,80
29,89,93,0,211
62,72,43,1,177
0,37,75,0,112
22,25,52,0,99
67,65,26,0,158
40,86,94,1,220
64,78,94,1,236
83,62,99,1,244
56,25,64,0,145
87,94,81,1,262
81,47,15,0,143
93,45,20,0,158
28,41,82,0,151
30,58,70,0,158
40,81,78,1,199
63,10,53,0,126
87,34,27,0,148
61,77,24,0,162
28,66,37,0,131
91,84,59,1,234
52,12,32,0,96
43,13,77,0,133
71,90,97,1,258
78,87,11,0,176
93,41,68,1,202
83,43,92,1,218
35,36,55,0,126
82,32,96,0,210
28,46,86,0,160
6,28,49,0,83
9,79,54,0,142
97,35,70,0,202
65,44,26,0,135
82,49,74,1,205
47,84,98,1,229
20,42,10,0,72
65,67,72,1,204
98,31,16,0,145
26,79,37,0,142
39,55,85,0,179
38,72,17,0,127
88,63,39,0,190
38,25,99,0,162
70,36,15,0,121
47,83,22,0,152
21,59,83,0,163
89,36,89,0,214
89,46,92,1,227
94,23,94,0,211
59,13,15,0,87
76,25,61,0,162
10,82,35,0,127
15,11,53,0,79
77,79,60,1,216
65,47,55,1,167
73,93,26,0,192
48,27,46,0,121
22,19,61,0,102
19,74,21,0,114
32,57,84,0,173
54,83,67,1,204
27,49,32,0,108
72,65,20,0,157
92,74,60,1,226
96,55,81,1,232
100,77,73,1,250
6,51,57,0,114
63,10,20,0,93
87,25,89,0,201
50,66,42,1,158
91,67,40,1,198
81,54,36,0,171
44,49,53,1,146
49,79,76,1,204
65,61,5,0,131
21,53,29,0,103
69,83,72,1,224
93,73,61,1,227
5,24,79,0,108
67,92,7,0,166
11,58,8,0,77
32,58,85,0,175
80,36,82,0,198
12,81,36,0,129
34,10,38,0,82
94,45,31,0,170
10,91,27,0,128
17,86,41,0,144
99,75,23,0,197
78,35,74,0,187
84,69,30,0,183
87,86,39,0,212
89,76,44,1,209
10,62,79,0,151
56,49,37,0,142
30,31,92,0,153
48,67,62,1,177
55,89,26,0,170
50,95,74,1,219
21,77,50,0,148
41,35,67,0,143
56,56,58,1,170
16,77,20,0,113
79,10,31,0,120
62,59,78,1,199
27,84,54,0,165
15,64,31,0,110
55,61,41,1,157
76,53,18,0,147
68,89,8,0,165
52,84,20,0,156
15,18,77,0,110
84,73,6,0,163
37,41,74,0,152
35,91,42,0,168
31,93,91,0,215
48,47,97,1,192
95,90,88,1,273
71,12,22,0,105
0,62,14,0,76
24,90,69,0,183
67,29,52,0,148
56,91,78,1,225
74,60,44,1,178
2,44,60,0,106
3,32,69,0,104
80,19,91,0,190
77,87,50,1,214
31,11,72,0,114
33,54,46,0,133
26,43,5,0,74
22,62,20,0,104
36,79,61,0,176
18,48,96,0,162
69,29,62,0,160
25,69,49,0,143
34,43,44,0,121
39,72,74,0,185
74,31,56,0,161
96,69,48,1,213
32,75,98,0,205
87,15,92,0,194
57,44,78,1,179
21,75,68,0,164
69,22,19,0,110
45,85,87,1,217
62,64,53,1,179
53,18,53,0,124
15,55,31,0,101
98,18,76,0,192
26,94,5,0,125
73,66,40,1,179
49,12,86,0,147
26,31,81,0,138
36,74,97,0,207
13,30,99,0,142
3,21,98,0,122
15,61,70,0,146
72,91,30,0,193
95,45,64,1,204
1,87,81,0,169
69,48,71,1,188
37,36,57,0,130
86,77,96,1,259
97,36,44,0,177
92,40,94,1,226
83,52,26,0,161
17,44,62,0,123
9,18,84,0,111
64,19,90,0,173
47,76,72,1,195
73,94,30,0,197
39,57,51,0,147
55,69,72,1,196
64,75,5,0,144
86,81,91,1,258
45,16,54,0,115
97,31,79,0,207
67,48,59,1,174
41,93,56,1,190
0,81,48,0,129
15,44,84,0,143
56,55,79,1,190
91,88,98,1,277
57,39,94,0,190
44,60,13,0,117
39,81,68,0,188
69,61,36,0,166
51,32,86,0,169
43,71,88,1,202
100,43,42,1,185
93,88,85,1,266
87,52,7,0,146
73,38,57,0,168
63,43,97,1,203
14,88,85,0,187
82,41,24,0,147
48,94,86,1,228
48,13,55,0,116
26,89,39,0,154
71,61,27,0,159
0,50,14,0,64
35,65,82,0,182
81,41,6,0,128
76,44,49,1,169
92,34,38,0,164
94,19,95,0,208
93,90,57,1,240
65,31,92,0,188
25,84,74,0,183
59,66,43,1,168
76,84,24,0,184
66,28,64,0,158
52,87,38,0,177
95,43,67,1,205
91,68,26,0,185
39,77,64,0,180
89,30,70,0,189
21,27,10,0,58
57,27,39,0,123
79,66,70,1,215
85,56,17,0,158
67,49,80,1,196
25,61,59,0,145
46,40,13,0,99
67,24,50,0,141
0,36,13,0,49
86,49,89,1,224
49,18,61,0,128
74,23,7,0,104
54,39,26,0,119
51,60,69,1,180
43,51,95,1,189
79,73,25,0,177
74,22,93,0,189
93,33,16,0,142
89,15,56,0,160
95,17,86,0,198
8,86,93,0,187
63,12,40,0,115
95,37,82,0,214
31,14,43,0,88
81,73,31,0,185
83,77,72,1,232
37,88,31,0,156
80,66,35,0,181
2,53,47,0,102
52,94,39,0,185
92,45,13,0,150
80,25,14,0,119
19,88,94,0,201
81,32,71,0,184
99,22,89,0,210
50,38,52,0,140
100,61,64,1,225
34,39,70,0,143
22,73,76,0,171
98,67,99,1,264
9,58,11,0,78
99,31,26,0,156
77,39,43,0,159
1,40,88,0,129
44,46,99,1,189
33,69,96,0,198
90,80,76,1,246
52,84,39,0,175
87,59,50,1,196
69,37,83,0,189
38,67,99,0,204
19,43,34,0,96
59,52,55,1,166
33,73,76,0,182
62,85,56,1,203
21,24,27,0,72
59,37,66,0,162
65,20,38,0,123
5,15,83,0,103
34,11,47,0,92
65,10,96,0,171
12,71,33,0,116
95,50,38,0,183
75,59,83,1,217
54,84,95,1,233
8,46,36,0,90
45,35,89,0,169
8,61,8,0,77
84,30,84,0,198
56,92,56,1,204
2,29,45,0,76
21,13,60,0,94
64,11,36,0,111
90,59,39,0,188
20,28,29,0,77
88,95,14,0,197
11,79,85,0,175
51,17,98,0,166
81,82,26,0,189
88,58,79,1,225
35,42,61,0,138
77,26,79,0,182
38,20,98,0,156
26,69,23,0,118
67,93,82,1,242
26,48,38,0,112
30,11,63,0,104
42,14,72,0,128
34,78,25,0,137
8,17,22,0,47
9,77,22,0,108
89,26,96,0,211
66,15,61,0,142
84,45,51,1,180
47,25,44,0,116
59,65,56,1,180
65,21,35,0,121
71,34,19,0,124
94,13,96,0,203
6,73,31,0,110
21,91,96,0,208
38,26,92,0,156
83,45,44,1,172
94,34,13,0,141
91,94,18,0,203
71,67,34,0,172
34,59,55,0,148
45,52,46,1,143
78,90,68,1,236
94,44,17,0,155
29,43,28,0,100
50,92,10,0,152
71,91,12,0,174
51,41,81,1,173
22,41,7,0,70
61,17,32,0,110
33,85,92,0,210
78,85,9,0,172
42,32,68,0,142
91,54,95,1,240
28,64,72,0,164
33,87,97,0,217
78,81,83,1,242
90,91,61,1,242
31,76,48,0,155
84,17,89,0,190
3,55,40,0,98
79,80,20,0,179
51,62,83,1,196
40,78,93,1,211
55,35,27,0,117
97,78,17,0,192
31,64,33,0,128
100,94,56,1,250
34,18,34,0,86
24,44,68,0,136
9,88,62,0,159
80,19,53,0,152
93,42,26,0,161
21,32,34,0,87
74,22,35,0,131
56,29,41,0,126
74,17,64,0,155
93,36,75,0,204
18,64,79,0,161
77,15,54,0,146
33,16,32,0,81
58,91,62,1,211
67,21,96,0,184
20,75,38,0,133
17,70,47,0,134
99,74,68,1,241
17,57,80,0,154
91,22,19,0,132
56,50,32,0,138
46,15,15,0,76
39,26,10,0,75
96,78,6,0,180
51,14,5,0,70
30,66,66,0,162
14,95,45,0,154
91,26,54,0,171
26,60,79,0,165
91,67,41,1,199
87,13,30,0,130
39,77,56,0,172
8,44,25,0,77
13,21,87,0,121
29,42,24,0,95
50,51,8,0,109
41,20,6,0,67
63,48,54,1,165
12,14,23,0,49
23,59,90,0,172
5,17,74,0,96
7,43,12,0,62
76,50,77,1,203
2,26,53,0,81
96,43,37,0,176
27,58,21,0,106
87,24,15,0,126
4,48,64,0,116
63,22,88,0,173
90,64,43,1,197
67,41,6,0,114
92,74,9,0,175
